label,size,mean_net_legal,n_events
self_lost,1,0.02996911733794687,247388
self_lost,3,-3.9865144092113813,136961
self_lost,5,-6.20707790611944,40690
self_lost,9,-9.279635963132572,17251
opp_lost,1,-0.6466327396098388,176850
opp_lost,3,1.0823526769673015,44528
opp_lost,5,-1.7666844634276562,11238
opp_lost,9,5.068208092485549,2595
