label,n,e-3,se-3,epw-3,np-3,e-2,se-2,epw-2,np-2,e-1,se-1,epw-1,np-1,e0,se0,epw0,np0,e1,se1,epw1,np1,e2,se2,epw2,np2,e3,se3,epw3,np3
blunder_only,16000,-0.00306141844415921,0.015071178972588839,0.009275132965845674,1670,0.01691906004781341,0.014939550784208076,0.007228722211577898,1700,0.0021419028773358452,0.014044999429366914,-0.016617935065544535,1725,0.25009127380561463,0.015980274357617254,0.21414850045416411,1763,0.15416762644652368,0.016831137112074974,0.13458683692293655,1743,0.03971828185891796,0.01834527400959309,0.03643701075407746,1720,0.046108113403688804,0.01789786821697465,0.03336880629012635,1700
blunder_loss,16000,-0.002815217814295008,0.01432400832093218,-0.0035015526775888707,1679,0.02274222349021268,0.013510779828317242,0.023296666970744652,1715,0.014363296088026086,0.013399899070093977,-0.0015047379290088498,1748,0.40279939882694554,0.015297591336504093,0.379591897754785,1783,-0.4931094260467565,0.01671558069836241,-0.49717723646735806,1757,0.003062963692394063,0.017511962540040962,-0.008586581097638712,1723,-0.0030032014489050334,0.01793135557851021,0.021118304670978524,1708
loss_only,16000,-0.008769586379676224,0.013785377794639894,0.007636352519773075,1773,0.012537242205284833,0.013136045043416934,0.024014933722718984,1805,0.014872996137659848,0.012578060136681836,-0.007554495228173152,1828,0.21119652049426224,0.014317861202791868,0.21117146467497813,1861,-0.6314645586377526,0.015352533971713359,-0.6404420870591218,1807,-0.03411685595621525,0.017523660035413065,-0.0053578740052653215,1781,-0.055475789914226345,0.017459567885946468,-0.016445573349717014,1752
