variant,group,effect,se,t,effect_pw,n_events_all,n_events_matched,n_players,matched_share
control only,blunder_only,0.1526436683826226,0.015588295851164438,9.792197289559411,0.14879948539159407,68770,13178,1685,0.87925
control only,blunder_loss,-0.4703871318055998,0.015280029821881399,-30.784438073019547,-0.4697897934938153,23811,13103,1694,0.8788125
control only,loss_only,-0.6133789339204012,0.015226390732852462,-40.28393495754544,-0.6168998271762748,732265,13141,1740,0.885
control + preceding,blunder_only,0.14640084151176674,0.016205575305130438,9.03397989612985,0.13167019183370832,68770,12314,1662,0.82125
control + preceding,blunder_loss,-0.4824322358405344,0.015845685010827462,-30.44565353349415,-0.48513562388396386,23811,12355,1673,0.8286875
control + preceding,loss_only,-0.6361812027860443,0.015049876866569854,-42.27152211452224,-0.6322807918792518,732265,12356,1703,0.8318125
both (main),blunder_only,0.13294136384240945,0.015825649301245456,8.400373426191566,0.1307785231129483,43314,12682,1654,0.8379375
both (main),blunder_loss,-0.49670530403256435,0.01669186847080029,-29.757321949994367,-0.48760384954114466,14911,11729,1675,0.8517872711421098
both (main),loss_only,-0.6276197071235327,0.015615636979792064,-40.19174548791861,-0.6373369878562037,535885,12466,1728,0.84825
