task,n_events,n_matched,matched_share,n_participants,ctrl_per_event,rt_effect,rt_se,rt_t,err_effect,err_se,err_t,ev_err_rate,ct_err_rate
ffa,11157,10653,0.9548265662812584,172,11.466441378015583,0.20922171952501256,0.037849254894295546,5.527763230988873,-0.022180341788686143,0.0033270215102246758,-6.666726295733595,0.09490284426921994,0.11708318605790607
ffb,6952,6271,0.9020425776754891,171,3.8504225801307608,0.5794430656662987,0.060871534408170114,9.51911384031953,-0.05266470382679917,0.006618503545193173,-7.957192055150898,0.18370275873066497,0.23636746255746416
ffc,7677,7155,0.9320046893317703,172,5.15946890286513,0.4462487121478785,0.0528467557282628,8.44420260048663,-0.0543558363369684,0.005500804987627094,-9.88143307374656,0.1631027253668763,0.21745856170384473
