group,n_events,wp_delta_mean,material_lost_mean,material_lost_median,share_ge_9,next_blunder_rate,n_next_obs
blunder_only,43314,-0.2083185570710394,,,,0.2378582281133756,38174
blunder_loss,14911,-0.22970446991815985,2.4911810073100398,2.0,0.037086714506069346,0.12945636392966609,12398
loss_only,535885,-0.021878521252524943,2.5389775791447793,2.0,0.03824887802420295,0.07658981560098405,45933
(all moves),5261761,-0.03748030264972155,,,,0.13217706484539402,667665
