event_type,tier,spec,lag,effect,se,effect_pw,t,n_events,n_players
blunder,1300-1600,zpre,-6,0.03411439302357366,0.025406224105938575,0.05234301366275298,1.3427573055060784,4806,441
blunder,1300-1600,zpre,-5,0.02919362855180241,0.02771214764524802,0.03699171003315735,1.0534596208680502,5264,445
blunder,1300-1600,zpre,-4,0.02688816154345076,0.024179620197228895,0.01685479649512524,1.1120175306364934,5712,449
blunder,1300-1600,zpre,-3,0.013555559373063773,0.02002025138549822,0.0017775600312607194,0.6770923657273763,6235,458
blunder,1300-1600,zpre,-2,0.028416526205405187,0.01850555535268174,0.03126147987258457,1.535567329044637,6824,462
blunder,1300-1600,zpre,-1,-0.026461626887943904,0.01667024528042906,-0.021768078230917174,-1.587356781067281,7396,465
blunder,1300-1600,zpre,0,0.2135409341231214,0.019049539972422626,0.2475455445231566,11.209768552534989,8341,471
blunder,1300-1600,zpre,1,-0.01916605676672383,0.021918210300168186,-0.035168687395433204,-0.8744352985141658,7882,468
blunder,1300-1600,zpre,2,0.03824630095398495,0.02332406456224029,0.015805135139285612,1.639778557974947,7505,466
blunder,1300-1600,zpre,3,0.027065618289406648,0.02159980837191009,0.03397843081640758,1.2530490004070907,7163,464
blunder,1600-1900,zpre,-6,0.028836953524716165,0.025755391059658947,0.011745379578231352,1.1196472792014374,5860,431
blunder,1600-1900,zpre,-5,0.029658366263822067,0.02223602751605616,0.019068355578887117,1.3337978756505133,6305,436
blunder,1600-1900,zpre,-4,0.044592116308013956,0.021549615183812997,0.053739936543355134,2.0692766867368166,6712,437
blunder,1600-1900,zpre,-3,0.012201405446900009,0.018960589799203054,0.019513218395848332,0.6435140244114587,7274,439
blunder,1600-1900,zpre,-2,0.018446606405992067,0.017348866761350026,0.022695012233362268,1.063274429375848,7852,443
blunder,1600-1900,zpre,-1,-0.016434126899999735,0.01783563636062846,-0.0245728247825028,-0.921420832299401,8452,445
blunder,1600-1900,zpre,0,0.25934927798842267,0.02086984816425469,0.26847396443460136,12.426984420165983,9332,448
blunder,1600-1900,zpre,1,-0.024227552363425307,0.02145165307553407,-0.019388751573698567,-1.1294025816153623,8788,447
blunder,1600-1900,zpre,2,0.009575413293136908,0.022311827619019082,0.004799265795315182,0.429163108313665,8337,444
blunder,1600-1900,zpre,3,0.02946302185862513,0.02306633967238614,0.025718757537564824,1.277316742798892,7897,444
blunder,1900-2100,zpre,-6,0.024131559904616885,0.02038109158053805,0.0021645641385718384,1.184017048805186,9812,461
blunder,1900-2100,zpre,-5,0.034140969289781796,0.020255080039921543,0.03710150064754447,1.6855509443799779,10399,460
blunder,1900-2100,zpre,-4,0.033369797692842686,0.01971788802178378,0.020957359850812814,1.6923616594219753,10951,461
blunder,1900-2100,zpre,-3,0.00931812814700054,0.016144172332001945,0.007630880219522659,0.5771821531246658,11736,465
blunder,1900-2100,zpre,-2,0.02515576894555597,0.014935561989864073,0.0041365895494559594,1.6842867354189803,12531,466
blunder,1900-2100,zpre,-1,-0.006083831271498032,0.01434067156980099,0.015146899277393197,-0.424236148348139,13331,466
blunder,1900-2100,zpre,0,0.28764991962928194,0.017141545969462556,0.28615638896176554,16.780862131206053,14443,467
blunder,1900-2100,zpre,1,-0.027399406680242915,0.01831712192447045,-0.0630591161623285,-1.4958357974152665,13582,466
