outcome,label,lag,effect,se,t,effect_pw,n_events,n_players,event_mean,control_mean,coverage_all,raw_rate_all,n_events_all,matched_share,usable_share
wp_loss_x,blunder_only,-3,0.006661299513564575,0.0016738782472950112,3.979560355915516,0.0109576840255572,6992,1305,-0.007252556363769242,-0.013913855877333818,,,56319,0.437,0.437
wp_loss_x,blunder_only,-2,-0.004238911098149584,0.001672345013927822,-2.5347108777474636,-0.00947846509281564,6992,1305,-0.011697917367654005,-0.007459006269504423,,,56319,0.437,0.437
wp_loss_x,blunder_only,-1,-0.0009586869504954101,0.0009722547087457173,-0.9860450578143143,-0.0016848914423146207,6992,1305,-0.01917459123719995,-0.018215904286704537,,,56319,0.437,0.437
wp_loss_x,blunder_only,0,0.17401645583147343,0.0024411145694579776,71.28565697353233,0.1769252531418244,6990,1305,0.1554935680321678,-0.01852288779930563,,,56319,0.437,0.436875
wp_loss_x,blunder_only,1,-0.014137273122017655,0.0030438485430905565,-4.644538951883409,-0.03498883130441871,6595,1282,0.016690005109184957,0.030827278231202612,0.9456133809194055,0.024003354384206085,56319,0.437,0.4121875
wp_loss_x,blunder_only,2,-0.0006427444248687372,0.002626612655118204,-0.2447046859445715,-0.007527925130651031,6168,1247,0.011179381169413501,0.011822125594282239,,,56319,0.437,0.3855
wp_loss_x,blunder_only,3,0.00584529377420992,0.00262381312613605,2.227785857149809,0.0033778638299543887,5784,1219,0.009852432879629629,0.0040071391054197075,,,56319,0.437,0.3615
wp_loss_x,blunder_loss,-3,0.005631944201724515,0.001181714840861796,4.765907989796655,0.007816559974258126,6901,1323,-0.007567141785118594,-0.01319908598684311,,,19025,0.4313125,0.4313125
wp_loss_x,blunder_loss,-2,-0.0027832963093497535,0.0012210584464113947,-2.2794128467229937,-0.006333366421312724,6901,1323,-0.011187066144888931,-0.008403769835539178,,,19025,0.4313125,0.4313125
wp_loss_x,blunder_loss,-1,7.1321600000495834e-06,0.0007336567916012387,0.009721384824208232,0.00019648208485658117,6901,1323,-0.018368206119059812,-0.018375338279059857,,,19025,0.4313125,0.4313125
wp_loss_x,blunder_loss,0,0.19191226286465307,0.0027063410487650264,70.91207627073743,0.19752723438698788,6895,1323,0.17381530019248753,-0.01809696267216552,,,19025,0.4313125,0.4309375
wp_loss_x,blunder_loss,1,-0.04109671132489485,0.003010456222826647,-13.651323348694099,-0.06775334120156065,6226,1283,-0.0031722553231375078,0.037924456001757346,0.9089618922470434,0.000680642652105852,19025,0.4313125,0.389125
wp_loss_x,blunder_loss,2,-0.0009431902000495634,0.002559177019215027,-0.36855215288658183,-0.006389188240064242,5844,1253,0.006447996711047005,0.007391186911096567,,,19025,0.4313125,0.36525
wp_loss_x,blunder_loss,3,0.006319518133557384,0.0025440841408598566,2.484005160073635,0.005700317757777922,5461,1221,0.008150589822591552,0.0018310716890341653,,,19025,0.4313125,0.3413125
wp_loss_x,loss_only,-3,0.003628241502698259,0.0012579572176423454,2.884232827486998,0.0056395449331176,7434,1234,-0.011689266518719774,-0.015317508021418033,,,102615,0.464625,0.464625
wp_loss_x,loss_only,-2,-0.0013616354051248865,0.0012449889866923225,-1.0936927311642084,-0.004130499565713397,7434,1234,-0.014025168607971622,-0.012663533202846737,,,102615,0.464625,0.464625
wp_loss_x,loss_only,-1,0.0002497284364848879,0.0008001467867744214,0.3121032798139471,-8.007455526447705e-05,7434,1234,-0.01808689738073597,-0.018336625817220863,,,102615,0.464625,0.464625
wp_loss_x,loss_only,0,0.004716028056972241,0.001236803535597447,3.8130777615331843,0.005725849453955396,7427,1234,-0.013630995663993974,-0.018347023720966218,,,102615,0.464625,0.4641875
wp_loss_x,loss_only,1,-0.00911751805400828,0.002040293725722229,-4.468728173332413,-0.008370222942793862,6361,1173,-0.01499960183919331,-0.00588208378518503,0.8564927154899381,-0.011271713278632961,102615,0.464625,0.3975625
wp_loss_x,loss_only,2,-0.00019356804609931756,0.0020282585759863717,-0.0954355861678941,0.001980033404623213,5890,1125,-0.0059901249190176566,-0.00579655687291834,,,102615,0.464625,0.368125
wp_loss_x,loss_only,3,0.0004671474026708922,0.002270196431854492,0.2057740009261163,0.003305561003137571,5472,1088,-0.0054516840661251705,-0.005918831468796063,,,102615,0.464625,0.342
blunder_x,blunder_only,-3,0.025160903287222307,0.005992370169801996,4.198823265962171,0.050762066839226794,6634,1284,-0.05139138656517673,-0.07655228985239905,,,56319,0.414625,0.414625
