label,bin,bin_mid,effect,se,effect_pw,t,n_events,n_players
self_lost,"(-inf, -12.0]",-inf,-1.1848026432808552,0.02086768307873031,-1.1590378911011352,-56.77691379588195,4342,1216
self_lost,"(-12.0, -8.0]",-10.0,-1.1280411991588721,0.025896196748385066,-1.0788416003091923,-43.560110780716045,2316,947
self_lost,"(-8.0, -4.0]",-6.0,-1.0669610377627357,0.026258421729147743,-1.0575293260115972,-40.63309854523254,1641,786
self_lost,"(-4.0, -1.0]",-2.5,-1.0527202054955673,0.03415269709077356,-1.0277171943138617,-30.823925931752033,1146,619
self_lost,"(-1.0, 1.0]",0.0,-1.0238178494852923,0.049221925028585016,-1.0206960968248904,-20.800036749694836,390,297
self_lost,"(1.0, 4.0]",2.5,-0.7949171013012629,0.09883379870399928,-0.8122006428444616,-8.042968212544247,119,105
self_lost,"(4.0, 8.0]",6.0,-0.8770840684946951,0.13752181542525244,-0.8770840684946951,-6.377781341691339,50,50
self_lost,"(8.0, inf]",inf,-0.8444215760116673,0.050718994907307156,-0.8100074168524594,-16.64902030402835,595,377
opp_lost,"(-inf, -12.0]",-inf,-0.5283427835305186,0.1011428334891994,-0.5279490386330894,-5.22372930739515,139,128
opp_lost,"(-12.0, -8.0]",-10.0,0.06373917519756407,0.2051589054061084,0.06373917519756407,0.31068198122520446,9,9
opp_lost,"(-8.0, -4.0]",-6.0,0.056927580357526326,0.12187629404556742,0.05939358623060114,0.467093135735175,75,72
opp_lost,"(-4.0, -1.0]",-2.5,-0.14368066883365102,0.0629325860256878,-0.1147666469406212,-2.283088585856038,274,235
opp_lost,"(-1.0, 1.0]",0.0,-0.12261352968908373,0.07201615166723153,-0.15036143212817288,-1.702583751706838,250,213
opp_lost,"(1.0, 4.0]",2.5,-0.08490684833502121,0.05202863016447736,-0.07538755853472374,-1.6319255007599933,427,341
opp_lost,"(4.0, 8.0]",6.0,-0.03518223539273708,0.05466104302823817,-0.017996316213482716,-0.6436436892461375,386,306
opp_lost,"(8.0, inf]",inf,-0.10431039334760193,0.0560191264954709,-0.08357515362406596,-1.8620496225701653,363,277
