label,direction,size,n,e-3,se-3,epw-3,np-3,e-2,se-2,epw-2,np-2,e-1,se-1,epw-1,np-1,e0,se0,epw0,np0,e1,se1,epw1,np1,e2,se2,epw2,np2,e3,se3,epw3,np3
self_1,self,1,16000,-0.00474880995353914,0.013132488801902726,-0.0045955128388711994,1804,-0.013817684545461303,0.013089320334515268,-0.022246291572297357,1816,0.016712493429731492,0.012828575904659743,0.020832707771017044,1820,0.2942155100976236,0.014026676170434748,0.2969961518996288,1838,-0.3004959888643398,0.014678888200713912,-0.3083664537839872,1822,0.01915557377593808,0.014807314414979301,0.024935067050539095,1803,0.03921037841871068,0.01514968572992007,0.03191762144831595,1794
opp_1,opp,1,16000,0.007051677465573484,0.013303558108118051,-0.006659351318970182,1803,0.005481126009967391,0.01282433367223166,0.01158560601642402,1814,-0.015452415604374804,0.012397726171665912,1.837755669528383e-05,1827,-0.3862683719471274,0.013003210395234893,-0.39118404871340734,1845,0.21897233914553615,0.01408219090192286,0.24031726994058103,1835,0.024294179889694092,0.014113166565201424,0.018845160975471516,1828,0.013114753775539598,0.015075380282539644,0.011802780693128736,1810
self_3,self,3,16000,-0.025775890707239783,0.013164247063164158,-0.02148119609420893,1757,-0.0016571021106377745,0.013391899039264786,-0.007593019503815684,1786,0.040947440834367375,0.013065754539138193,0.05110064932648269,1802,0.32128146222197757,0.013693649557583822,0.3133518482618888,1828,-0.697189317115883,0.014677773320598041,-0.7035550341075401,1790,-0.021514270694492372,0.014898839100405821,-0.01050935133411552,1808,-0.05466944368390493,0.015212888218284702,-0.039122023519208196,1798
opp_3,opp,3,16000,-0.007712236735271379,0.013885422774656899,-0.02002672189950856,1769,0.017421586316363112,0.013891884883697008,0.03212365596099395,1797,0.037372927235890106,0.013096460236482081,0.03734954353039565,1812,-0.6893194727165074,0.012675975279959211,-0.6801494783350414,1830,0.15909771450235596,0.014405954206181503,0.1632243618780447,1825,-0.02567079419418296,0.01436524168018097,-0.018267217995617577,1809,-0.04367355674360042,0.014914192683460547,-0.03813503414073634,1796
self_5,self,5,16000,-0.013593350573186641,0.014268819871872899,-0.010207618436035995,1757,-0.012822268998559407,0.013482350713615563,-0.023796661002684495,1761,0.04056292831069276,0.013599908155318906,0.033293557622111995,1757,0.2502642804942803,0.014498128001179807,0.2607135956148228,1780,-0.8052657852497074,0.015555451419982979,-0.8038576537750558,1672,-0.059652366908707635,0.016253543051077287,-0.06383344836953865,1726,-0.08136660358081271,0.01687757356019202,-0.05399060292328305,1712
opp_5,opp,5,16000,0.0013380204025131022,0.014366959049762124,0.02001868450787162,1752,0.05898447173554165,0.014350990494685103,0.045366062621212275,1753,-0.020806150905188857,0.014436324500007773,-0.01241527194776075,1763,-0.6981251070455539,0.013529520981636178,-0.6872788588537504,1775,0.16278757136512614,0.016300523466206977,0.18757846392354546,1763,-0.03504138668627045,0.017088070144950406,-0.019150839896960068,1729,-0.032183223044047436,0.017523242324220433,-0.021588018548666158,1699
self_9,self,9,16000,-0.0054696852437735475,0.014494975114917317,-0.004290729925616724,1765,0.0018291221379622385,0.014145551227521898,-0.006966495089808881,1776,0.01648849884426408,0.014697171554747427,0.013249265611032509,1789,0.3486986967000218,0.015464627561767008,0.3717448813684915,1807,-0.9786080912974188,0.016054294603131944,-0.9496301733262884,1661,-0.18056151420295816,0.01683950066862845,-0.16776964066110905,1747,-0.23329581012422315,0.0162866931214963,-0.20708201845070878,1730
opp_9,opp,9,16000,-0.02011671835581135,0.016003592910123172,-0.050587047936419695,1698,0.05236399620505681,0.014982154296580813,0.06088838139121782,1709,0.028394825148502816,0.015473287747660226,0.055695592873866405,1712,-0.8408466937234197,0.014745596785674994,-0.8132768939914461,1736,0.026937174003278445,0.01579828135881147,0.052524191274162996,1727,-0.14525108701968015,0.016887133844792127,-0.13085258511106138,1691,-0.1643598835990335,0.016770966937806997,-0.1339434838034165,1665
