outcome,label,lag,effect,se,t,effect_pw,n_events,n_players,event_mean,control_mean,coverage_all,raw_rate_all,n_events_all,matched_share,usable_share
wp_loss_x,self_1,0,0.028612919806523106,0.0016244898876824308,17.613479790473527,0.03520272998891936,11083,1516,0.0121890060534487,-0.016423913753074403,,,56373,0.8295,0.6926875
wp_loss_x,self_1,1,-0.004660568699381622,0.001863112949617393,-2.501495521427572,-0.006059123216481606,10005,1478,-0.0043831789925074345,0.00027738970687418924,0.9198197718766076,-0.0014965634133431132,56373,0.8295,0.6253125
wp_loss_x,self_1,2,0.0016686704005904262,0.0018606177798186074,0.8968367488958994,0.0011232402105810044,9312,1446,0.00019395766254729922,-0.0014747127380431272,,,56373,0.8295,0.582
wp_loss_x,self_1,3,0.002541866406854598,0.002288501584714874,1.1107121025530298,0.008722866330245539,8666,1414,0.0008026534689886966,-0.0017392129378659014,,,56373,0.8295,0.541625
wp_loss_x,opp_1,0,0.0070954552784558405,0.0015044594541676753,4.716282156225552,0.006429042066229402,11273,1461,-0.012007592606564033,-0.01910304788501987,,,40823,0.834125,0.7045625
wp_loss_x,opp_1,1,0.003619704707781535,0.0019508793178998004,1.8554221548046814,0.0034318284975619097,10974,1450,-0.002004949717731622,-0.0056246544255131575,0.9811870759130882,0.0014498349534173604,40823,0.834125,0.685875
wp_loss_x,opp_1,2,0.0011998758653373252,0.0023786320916637143,0.504439450532294,0.0028551662939774606,10095,1422,-0.0031145669395880515,-0.004314442804925377,,,40823,0.834125,0.6309375
wp_loss_x,opp_1,3,0.0021531176474781947,0.0023330531207706065,0.9228755351987102,0.0017932683262971453,9263,1379,-0.0008843799743114063,-0.0030374976217896004,,,40823,0.834125,0.5789375
wp_loss_x,self_3,0,0.03593185172041405,0.0017332597489525103,20.73079452870774,0.04490670380638577,11901,1512,0.018381824038844714,-0.017550027681569345,,,33405,0.86725,0.7438125
wp_loss_x,self_3,1,-0.021140398603544795,0.001777474827030903,-11.89350098355978,-0.02880356258366116,9823,1452,-0.02040271365210064,0.0007376849514441536,0.8426283490495435,-0.01783508046390543,33405,0.86725,0.6139375
wp_loss_x,self_3,2,-0.00010021189649052169,0.0017653662714053066,-0.05676549853348493,0.00033298927415148787,9352,1427,-0.00402668997834039,-0.003926478081849869,,,33405,0.86725,0.5845
wp_loss_x,self_3,3,-0.0009791755501629106,0.0019298169849256094,-0.5073929589238514,-0.001747660708005576,8875,1399,-0.0033031300218089956,-0.0023239544716460855,,,33405,0.86725,0.5546875
wp_loss_x,opp_3,0,-0.004389901584106114,0.0012479193609918097,-3.5177766459341964,-0.004954238035044344,6546,1260,-0.02311501934085363,-0.01872511775674752,,,9613,0.8267970456673255,0.6809528763133257
wp_loss_x,opp_3,1,-0.002820819270261194,0.0020652066836500367,-1.3658774652402785,-0.002192857187700058,6379,1245,-0.007315464131855886,-0.004494644861594692,0.9824196400707376,-0.0036217495678382548,9613,0.8267970456673255,0.6635805679808593
wp_loss_x,opp_3,2,-0.0026142856023071543,0.0022277350110008723,-1.1735173121567153,-0.004060105254304209,5868,1220,-0.0066438872097960185,-0.004029601607488864,,,9613,0.8267970456673255,0.6104233849994799
wp_loss_x,opp_3,3,-0.0008053082375321366,0.002291589603155804,-0.35141904834230653,8.806549906382155e-05,5453,1192,-0.0038957779097208655,-0.003090469672188729,,,9613,0.8267970456673255,0.5672526786643087
wp_loss_x,self_5,0,0.036472129810116445,0.003107428231384661,11.73707873338866,0.04824564950146992,6043,1187,0.01795100688877723,-0.018521122921339214,,,10039,0.7686024504432712,0.6019523856957865
wp_loss_x,self_5,1,-0.022358255072998382,0.002729784366645576,-8.190483961366054,-0.02509467943796131,4561,1069,-0.019545232728965585,0.002813022344032797,0.7709931268054587,-0.01600785991231595,10039,0.7686024504432712,0.45432812033071024
wp_loss_x,self_5,2,-0.0011551320063212368,0.0028441830353825117,-0.40613842075247597,-0.0020666310087032384,4200,1019,-0.004828627655679555,-0.0036734956493583194,,,10039,0.7686024504432712,0.41836836338280703
wp_loss_x,self_5,3,0.002831699848641292,0.0030432722031671867,0.9304786623077266,0.0025123347376524896,3875,972,-0.0014943320350971517,-0.004326031883738443,,,10039,0.7686024504432712,0.3859946209781851
wp_loss_x,opp_5,0,0.0017234482003127298,0.002963900121263448,0.5814798508048443,0.0026310516364149495,1316,578,-0.01804344088810683,-0.01976688908841956,,,2346,0.7331628303495311,0.5609548167092924
wp_loss_x,opp_5,1,0.0029203151320081095,0.004241500126608543,0.6885099716696605,0.004289332975774514,1236,554,-0.004297313762739259,-0.007217628894747368,0.9514066496163683,-0.002442476943871482,2346,0.7331628303495311,0.5268542199488491
wp_loss_x,opp_5,2,-0.0026946764698431887,0.004818866940011748,-0.5591929603759964,-0.0007113903874601713,1055,511,-0.006504955235476463,-0.003810278765633275,,,2346,0.7331628303495311,0.4497016197783461
wp_loss_x,opp_5,3,-0.005998205872688069,0.004977360824842257,-1.2050976579296246,-0.005053529853907495,922,472,-0.006942922910436746,-0.0009447170377486741,,,2346,0.7331628303495311,0.39300937766410915
wp_loss_x,self_9,0,0.04379452551521686,0.0039466652706063084,11.096589782109621,0.05043788012449034,2992,829,0.025449904724486775,-0.01834462079073009,,,4736,0.7761824324324325,0.6317567567567568
wp_loss_x,self_9,1,-0.032256663470014504,0.003248811401368568,-9.928758393431616,-0.043124804671141166,2058,707,-0.026246990217045522,0.006009673252968981,0.7024915540540541,-0.023586466757865916,4736,0.7761824324324325,0.4345439189189189
wp_loss_x,self_9,2,-0.0043898337451448305,0.00268948793977545,-1.632219159722778,-0.00535331592140105,1930,680,-0.010216703107752153,-0.005826869362607321,,,4736,0.7761824324324325,0.4075168918918919
wp_loss_x,self_9,3,-0.006432080518046181,0.0025692702266611783,-2.5034659458163757,-0.006597086395500159,1817,650,-0.011227471317903793,-0.004795390799857612,,,4736,0.7761824324324325,0.38365709459459457
wp_loss_x,opp_9,0,-0.010378476464960571,0.002556641236233495,-4.059418395461066,-0.0113228275298317,309,198,-0.025170902231319178,-0.014792425766358606,,,563,0.6891651865008881,0.5488454706927176
wp_loss_x,opp_9,1,-0.009726934442547354,0.003729221510116684,-2.608301602937769,-0.010898154089522561,286,188,-0.017817469656463195,-0.008090535213915843,0.9538188277087034,-0.016081403627927475,563,0.6891651865008881,0.5079928952042628
wp_loss_x,opp_9,2,-0.012599842487210116,0.004502480401084927,-2.798422505997812,-0.014839934685193519,258,173,-0.01839555772161975,-0.005795715234409635,,,563,0.6891651865008881,0.458259325044405
wp_loss_x,opp_9,3,-0.0071877180772435415,0.006319554159609549,-1.1373773996878969,-0.009183392376788143,230,156,-0.011671685997066195,-0.004483967919822655,,,563,0.6891651865008881,0.40852575488454707
