outcome,label,lag,effect,se,t,effect_pw,n_events,n_players,event_mean,control_mean,coverage_all,raw_rate_all,n_events_all,matched_share,usable_share
wp_loss_x,A_1300-1600,0,0.18725406106342515,0.0038249334387488025,48.956161999169055,0.18381744365963557,5579,445,0.17806909503119298,-0.009184966032232162,,,9938,0.8393036828335682,0.561380559468706
wp_loss_x,A_1300-1600,1,-0.01755914660701979,0.004003785846305752,-4.385635815966884,-0.03501267912002297,5287,442,0.03492427867155109,0.05248342527857089,0.9441537532702757,0.03790436521971866,9938,0.8393036828335682,0.5319983900181123
wp_loss_x,A_1300-1600,2,0.0005391324423675429,0.0030430047094664706,0.17717108379436877,-0.0055729249149923275,5030,439,0.030067193134457174,0.029528060692089634,,,9938,0.8393036828335682,0.5061380559468706
wp_loss_x,A_1300-1600,3,0.004617244963123864,0.0034582051159506165,1.3351564780895429,0.004355717607650003,4819,437,0.02660289962818851,0.021985654665064646,,,9938,0.8393036828335682,0.4849064198027772
wp_loss_x,B_1300-1600,0,0.05177561377375993,0.002752763513618807,18.808594896586396,0.05687071571410971,7358,453,0.04112876733037845,-0.010646846443381484,,,13443,0.807185896005356,0.5473480621884996
wp_loss_x,B_1300-1600,1,-0.02051101904208128,0.0030651371819272874,-6.6917132332669125,-0.026807964620210192,6838,447,-0.0013980644748754548,0.01911295456720583,0.9387785464554043,0.003099279825361678,13443,0.807185896005356,0.5086662203377222
wp_loss_x,B_1300-1600,2,-0.0003834861362211328,0.002408830109292304,-0.159200158924366,0.0005137201421688928,6414,444,0.00935381417831836,0.009737300314539492,,,13443,0.807185896005356,0.47712564159785764
wp_loss_x,B_1300-1600,3,-0.0004210460591939332,0.003160318346878475,-0.13322900194843057,0.0021049770570375484,6031,440,0.011464518345446041,0.011885564404639974,,,13443,0.807185896005356,0.448634977311612
wp_loss_x,A_1600-1900,0,0.1856351748964787,0.0031853805189108785,58.27723683070357,0.18995442081253489,6503,425,0.17325821391048082,-0.012376960985997885,,,10936,0.8533284564740308,0.5946415508412582
wp_loss_x,A_1600-1900,1,-0.017715410965652805,0.0037183971050553867,-4.764260100559897,-0.03700504186773235,6124,423,0.026426085044147975,0.04414149600980079,0.9420263350402341,0.028804360331144876,10936,0.8533284564740308,0.5599853694220922
wp_loss_x,A_1600-1900,2,-0.0034404157251954038,0.003860952125785124,-0.8910796127770675,-0.013354279823732024,5804,422,0.023314785892321926,0.026755201617517328,,,10936,0.8533284564740308,0.5307242136064374
wp_loss_x,A_1600-1900,3,0.009329957375786496,0.0030761065354447353,3.033041043371274,0.0067647243430438864,5487,421,0.02473285189091112,0.015402894515124622,,,10936,0.8533284564740308,0.5017373811265545
wp_loss_x,B_1600-1900,0,0.05111080772630036,0.0031994114809514806,15.975065423938654,0.0503806497662465,7747,442,0.039141611001369085,-0.011969196724931281,,,14018,0.817306320445142,0.5526465972321302
wp_loss_x,B_1600-1900,1,-0.017610669405128496,0.0027423330182744345,-6.421783673891548,-0.021730897174821077,6979,440,-0.0026454746165562853,0.014965194788572207,0.9145384505635611,0.00031779069402731644,14018,0.817306320445142,0.4978598944214581
wp_loss_x,B_1600-1900,2,-0.0012091083579481392,0.0030320981889419884,-0.39876952611816374,-0.0016309351632250774,6539,438,0.009209137104020788,0.010418245461968926,,,14018,0.817306320445142,0.4664716792695106
wp_loss_x,B_1600-1900,3,0.0010034667640838955,0.002789057879942953,0.35978699879273224,0.000870534105351174,6144,432,0.011015535550262091,0.010012068786178194,,,14018,0.817306320445142,0.43829362248537596
wp_loss_x,A_1900-2100,0,0.17992539572965777,0.0022882149045622296,78.63133631850906,0.1792351426352254,10571,447,0.16502036037803072,-0.014905035351627027,,,16697,0.86575,0.6606875
wp_loss_x,A_1900-2100,1,-0.014135682776679858,0.002982971853589699,-4.7387918728328,-0.03262682995289325,9924,444,0.01897461557907571,0.03311029835575557,0.942145295562077,0.021351773953988892,16697,0.86575,0.62025
wp_loss_x,A_1900-2100,2,-0.0013301235403487314,0.0024401018193066976,-0.5451098514924502,-0.00882321009843593,9362,442,0.015227647717166594,0.016557771257515324,,,16697,0.86575,0.585125
wp_loss_x,A_1900-2100,3,0.008370190799973896,0.0023713731661963214,3.529680996348486,0.005915440529522087,8803,442,0.016164024538242353,0.00779383373826846,,,16697,0.86575,0.5501875
wp_loss_x,B_1900-2100,0,0.041300245679091616,0.0022949553930278555,17.996099534031476,0.0421844068534995,10241,452,0.027649874063120698,-0.013650371615970922,,,22906,0.84575,0.6400625
wp_loss_x,B_1900-2100,1,-0.01622258568379279,0.0021584815929252873,-7.5157396463164154,-0.02000367051644763,9062,447,-0.006848084814651268,0.00937450086914152,0.8954858988911202,-0.005525843511728866,22906,0.84575,0.566375
wp_loss_x,B_1900-2100,2,0.0007348245819473442,0.0017721208831752672,0.41465827129732447,0.002916698139354593,8531,446,0.004674099355606124,0.003939274773658781,,,22906,0.84575,0.5331875
wp_loss_x,B_1900-2100,3,0.000698599218808943,0.0022247923088545033,0.3140064877195824,0.0030348761209867572,7967,444,0.004224423340207337,0.003525824121398395,,,22906,0.84575,0.4979375
wp_loss_x,A_2100+,0,0.17531806555580093,0.0021487407301262634,81.59107476196021,0.1763561048206812,10847,451,0.1577749034618864,-0.017543162093914537,,,20654,0.82625,0.6779375
wp_loss_x,A_2100+,1,-0.014045911826967255,0.0026986510429141608,-5.204789950092866,-0.032478455264222626,10146,449,0.01150234478674752,0.02554825661371478,0.9349278590103612,0.014051438725408016,20654,0.82625,0.634125
