label,n,e-3,se-3,epw-3,np-3,e-2,se-2,epw-2,np-2,e-1,se-1,epw-1,np-1,e0,se0,epw0,np0,e1,se1,epw1,np1,e2,se2,epw2,np2,e3,se3,epw3,np3
blunder_only,16000,0.009482531781892801,0.014614404195813063,0.012816964086082983,1590,0.019511186073224634,0.014070116143130777,0.022522686475883215,1613,-0.0061727815644412,0.013066329296898478,-0.009678315007647882,1633,0.23181674895890783,0.015760340174225312,0.24334583739182541,1667,0.13294136384240945,0.015825649301245456,0.1307785231129483,1654,0.02807674356586535,0.016580772536608016,0.0009703465213885699,1635,0.04686584154725772,0.01710430585944803,0.0341017918586198,1617
blunder_loss,14911,-0.005810563864943139,0.014250882057492356,-0.0035917057810176704,1607,0.024466660099858747,0.01311451118130966,0.01821164529088887,1637,0.013083055640492,0.013194043163020966,0.0027419956442054443,1669,0.39049527343680485,0.015281246292632047,0.3805308235571278,1697,-0.49670530403256435,0.01669186847080029,-0.48760384954114466,1675,-0.00549131724561408,0.017711367746180783,-0.02665321325972893,1645,-0.012938272747196958,0.01760562582481654,0.013760964885714613,1631
loss_only,16000,-0.01810531513973954,0.014257119087783227,-0.018517709527288848,1692,0.012171075295455629,0.013559411169510049,0.009884937747782301,1719,0.027492360815460026,0.013053021396795667,0.02299848560751657,1743,0.20461788803436307,0.014967655880982159,0.2142176532015753,1771,-0.6276197071235327,0.015615636979792064,-0.6373369878562037,1728,-0.032367591248265944,0.016929709853074477,-0.015263316849038666,1712,-0.05024329496206196,0.017104609531915616,-0.04501605094145663,1685
