label,n,e-3,se-3,epw-3,np-3,e-2,se-2,epw-2,np-2,e-1,se-1,epw-1,np-1,e0,se0,epw0,np0,e1,se1,epw1,np1,e2,se2,epw2,np2,e3,se3,epw3,np3
B_1300-1600,16000,-0.018332005495324988,0.015136051673847855,-0.026304795552970456,474,0.02029995679618827,0.014187609954039076,0.0264243587900219,476,0.01711329921620372,0.01334612919250008,0.026098407178045135,477,0.2181362581480265,0.013523224799326059,0.20712967423388054,477,-0.5820159164731049,0.01586801330471641,-0.5932503597067769,476,-0.04491717434882397,0.0179182603822287,-0.03425639036209389,476,-0.06854385901489762,0.01816073761058189,-0.06131723514675258,476
A_1300-1600,9938,0.013555559373063773,0.02002025138549822,0.0017775600312607194,458,0.028416526205405187,0.01850555535268174,0.03126147987258457,462,-0.026461626887943904,0.01667024528042906,-0.021768078230917174,465,0.2135409341231214,0.019049539972422626,0.2475455445231566,471,-0.01916605676672383,0.021918210300168186,-0.035168687395433204,468,0.03824630095398495,0.02332406456224029,0.015805135139285612,466,0.027065618289406648,0.02159980837191009,0.03397843081640758,464
B_1600-1900,16000,-0.0052681592817385445,0.01546550648373874,-0.0041224788601768305,462,0.016903576495929166,0.01369278411686145,0.016515281425073823,462,0.015682252735214505,0.013302967086364146,0.022389312593151488,463,0.22113835439729604,0.013146033718697105,0.2172529296873482,463,-0.6330951448141218,0.015779095087790674,-0.6484103830330769,462,-0.04183030653435906,0.017725426795141004,-0.007208479116309402,462,-0.03995866694367794,0.016573589529087912,-0.04392781097563902,462
A_1600-1900,10936,0.012201405446900009,0.018960589799203054,0.019513218395848332,439,0.018446606405992067,0.017348866761350026,0.022695012233362268,443,-0.016434126899999735,0.01783563636062846,-0.0245728247825028,445,0.25934927798842267,0.02086984816425469,0.26847396443460136,448,-0.024227552363425307,0.02145165307553407,-0.019388751573698567,447,0.009575413293136908,0.022311827619019082,0.004799265795315182,444,0.02946302185862513,0.02306633967238614,0.025718757537564824,444
B_1900-2100,16000,-0.0052591969407210885,0.015350965227132836,-0.010941863880661264,471,0.01871068405293278,0.015713871579847022,0.029913748239970315,473,0.01116096637013868,0.014955375395739398,-0.007308909691293189,473,0.21383508729872117,0.019033939271091822,0.18884992374012627,473,-0.6402662271494288,0.019607933428232006,-0.631986644311195,472,-0.021468011904626147,0.018621745492591216,0.011533023431691665,472,-0.03492010445575356,0.021047065930175038,-0.014857505691341833,472
A_1900-2100,16000,0.01001227757056686,0.016364369764810312,0.005329450361039886,465,0.023119329726714072,0.015464082725360566,0.0013207115067867849,465,-0.004406395062330368,0.01495105713556959,0.02238603579135427,465,0.2917150914051495,0.01752305062540654,0.29234259470686186,467,-0.025089214611465578,0.01896246927109698,-0.06130116748491914,466,0.03568324394809178,0.018018012842556004,0.030853294817196227,464,0.04720081436682629,0.017790205954318523,0.06724299024663638,463
B_2100+,16000,0.003349792090670027,0.014630189166875017,-0.007317442594344682,463,0.0007791785989471301,0.012558727621771777,0.02218100884053764,464,0.016572906488823255,0.012757523923945765,-0.0018604433749909142,465,0.2034748221597178,0.01529494902209914,0.2102460244903106,465,-0.6544531995364474,0.019294938694437793,-0.643767699259027,465,-0.0207436686144277,0.019025724104963795,-0.007702401220458858,465,-0.02271451870757349,0.020307384088223773,-0.02932130752155176,463
A_2100+,16000,0.004316607079615501,0.01910406540614734,0.026663068457296244,458,0.025669318169459315,0.015955942855746807,0.01710959375356536,458,-0.004169075242223025,0.014969257603310976,-0.02047867688091291,458,0.2923472358206846,0.01709866157257989,0.2971968883277296,459,-0.025156175998285957,0.01753610059034938,-0.035732290071701756,457,0.0021413372084616127,0.019169402643631036,-0.008031044106231781,456,0.0027545554442735785,0.020076909257737575,0.03709380284094928,456
B_FM+,16000,-0.0009695524240695989,0.02138075670256184,-0.006956868522544775,136,0.012539631937619684,0.01864974271731872,0.018942685751417488,136,0.011121903710210908,0.015714052545540817,0.0016844985484794203,136,0.18178425371126086,0.014673706186658711,0.18538532756091522,136,-0.613983681135651,0.020948997493886908,-0.5523003165797259,136,0.011886346643637356,0.02159890769979619,0.0073366649241622195,136,-0.005742811437508425,0.02121013043171117,-0.01531503115164398,136
A_FM+,16000,0.0043973691658380325,0.017649867326133304,-0.016373707485753772,136,0.001209364232624948,0.015059087604390826,-0.009643213007799134,136,0.028010523487816276,0.013307865111479852,0.04083789412849544,136,0.3426759349399201,0.016722389601049367,0.3355266593055756,136,-0.009468520721426711,0.01827259077282344,-0.015831548625258724,136,0.022381656961749066,0.019047215631933907,0.03283028142123773,136,0.03984523792161137,0.019904168267971614,0.020366457576937527,136
